Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,3501638.04,2424276.05,16904000.00,17723,0,17924,0,7812,0,2925,0,185,0.4948245764673261,41052
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,55287688.84,12683784.12,100342000.00,197870,0,195721,0,104361,0,35184,0,1795,0.8067046273565823,412452
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,9132657.36,6251049.07,69789500.00,97176,0,24201,0,187320,0,17717,0,1632,0.7894473314123075,303576
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,2183241.40,4301535.95,566786800.00,56070,7959,0,27875,56775,1822,19128,1224,1039,0.9227259262319373,334380
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,5573910.99,4866126.79,556500600.00,58398,0,27607,0,53571,0,20000,0,992,0.9196898285843776,310200
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,2673111.81,3699710.00,624828300.00,55180,7335,0,26214,52139,1272,19914,1248,1005,0.9168395368449418,329904
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,2484699.39,2929745.00,559556000.00,46719,6107,0,26430,48681,1350,16413,912,920,0.9241482305462262,280644
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,2846067.23,2904000.00,606112500.00,50140,6375,0,27672,48315,1039,16838,981,924,0.9214402852872593,289512
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,1931734.08,1234365.00,670676600.00,24513,38250,0,31784,11733,43627,17562,1629,956,0.9166898216870857,305868
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,41144732.20,0.00,0,50440,0,25612,0,40689,0,14257,374,1.139541033100371,208752
